<Source>IBANDL plus, Nuno P. Barradas fit </Source>, 
<Created> File created 09-10-2009 17:17:27 by Nuno P. Barradas</Created> 
<Comment> </Comment>
<Reaction> </Reaction>
<EnergyRange> </EnergyRange>
<AnglesNumber> 20 </AnglesNumber>
<EnergiesNumber> 91</EnergiesNumber>
<Data>
,01, 05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 89, 90
8300, 291.412, 279.953, 247.083, 201.012, 151.274, 106.038, 70.114, 44.682, 28.33, 18.496, 12.619, 8.756, 5.782, 3.329, 1.517, 0.566, 0.45, 0.783, 0.991, 1
8400, 300.679, 288.783, 254.681, 206.944, 155.509, 108.86, 71.948, 45.933, 29.284, 19.305, 13.328, 9.35, 6.233, 3.621, 1.666, 0.617, 0.454, 0.779, 0.991, 1
8500, 309.541, 297.221, 261.926, 212.581, 159.517, 111.524, 73.687, 47.137, 30.227, 20.121, 14.052, 9.961, 6.698, 3.924, 1.823, 0.672, 0.46, 0.775, 0.99, 1
8600, 317.958, 305.23, 268.786, 217.896, 163.28, 114.019, 75.323, 48.292, 31.153, 20.942, 14.788, 10.587, 7.176, 4.237, 1.987, 0.731, 0.468, 0.772, 0.99, 1
8700, 325.897, 312.777, 275.232, 222.871, 166.784, 116.336, 76.852, 49.392, 32.061, 21.764, 15.536, 11.225, 7.665, 4.559, 2.157, 0.794, 0.478, 0.769, 0.99, 1
8800, 333.331, 319.837, 281.245, 227.488, 170.019, 118.469, 78.27, 50.436, 32.949, 22.584, 16.29, 11.873, 8.162, 4.887, 2.332, 0.86, 0.49, 0.767, 0.989, 1
8900, 340.24, 326.391, 286.807, 231.738, 172.978, 120.416, 79.575, 51.421, 33.813, 23.402, 17.05, 12.527, 8.667, 5.222, 2.512, 0.93, 0.503, 0.765, 0.989, 1
9000, 346.611, 332.427, 291.911, 235.613, 175.657, 122.172, 80.766, 52.347, 34.653, 24.213, 17.812, 13.187, 9.176, 5.56, 2.695, 1.002, 0.518, 0.764, 0.989, 1
9100, 352.437, 337.94, 296.551, 239.111, 178.057, 123.741, 81.843, 53.214, 35.468, 25.017, 18.574, 13.848, 9.687, 5.901, 2.881, 1.077, 0.534, 0.763, 0.988, 1
9200, 357.718, 342.928, 300.73, 242.236, 180.18, 125.123, 82.808, 54.021, 36.255, 25.811, 19.333, 14.509, 10.199, 6.243, 3.068, 1.153, 0.552, 0.763, 0.988, 1
9300, 362.46, 347.399, 304.453, 244.993, 182.032, 126.325, 83.664, 54.77, 37.015, 26.594, 20.088, 15.169, 10.711, 6.585, 3.257, 1.231, 0.571, 0.763, 0.988, 1
9400, 366.674, 351.364, 307.73, 247.391, 183.622, 127.351, 84.415, 55.462, 37.748, 27.364, 20.836, 15.824, 11.219, 6.927, 3.446, 1.31, 0.591, 0.763, 0.987, 1
9500, 370.375, 354.837, 310.578, 249.445, 184.958, 128.209, 85.065, 56.099, 38.453, 28.121, 21.577, 16.474, 11.724, 7.266, 3.635, 1.39, 0.611, 0.764, 0.987, 1
9600, 373.584, 357.838, 313.011, 251.168, 186.055, 128.909, 85.619, 56.685, 39.131, 28.863, 22.308, 17.117, 12.223, 7.602, 3.822, 1.47, 0.633, 0.766, 0.987, 1
9700, 376.324, 360.389, 315.052, 252.579, 186.924, 129.459, 86.085, 57.221, 39.784, 29.591, 23.029, 17.751, 12.716, 7.933, 4.009, 1.551, 0.655, 0.767, 0.987, 1
9800, 378.619, 362.515, 316.723, 253.694, 187.581, 129.869, 86.466, 57.71, 40.411, 30.303, 23.739, 18.376, 13.202, 8.261, 4.193, 1.631, 0.678, 0.769, 0.987, 1
9900, 380.496, 364.242, 318.046, 254.535, 188.04, 130.15, 86.771, 58.157, 41.014, 30.999, 24.436, 18.991, 13.679, 8.583, 4.375, 1.711, 0.701, 0.771, 0.986, 1
10000, 381.986, 365.598, 319.047, 255.122, 188.316, 130.312, 87.005, 58.564, 41.593, 31.68, 25.121, 19.594, 14.148, 8.899, 4.554, 1.791, 0.724, 0.773, 0.986, 1
</Data>
